frame,trigger_kpt,trigger_conf,trigger_score,frame_score,stability
5,1,0.9971,4.482452,4.482452,0.000000
6,2,0.9990,4.758999,4.758999,0.000000
9,15,0.9995,6.409976,6.409976,0.000000
10,15,0.9995,6.001865,6.001865,0.000000
14,5,1.0000,4.124568,4.124568,0.000000
15,7,0.9985,4.429536,4.429536,0.000000
16,15,1.0000,4.766349,4.766349,0.000000
17,5,0.9995,4.646023,4.646023,0.000000
19,11,0.9971,5.298311,5.298311,0.000000
20,2,0.9966,5.620013,5.620013,0.000000
23,2,0.9951,4.116318,4.116318,0.000000
25,1,0.9961,4.021794,4.021794,0.000000
27,1,0.9937,5.707882,5.707882,0.000000
28,15,0.9995,6.963604,6.963604,0.000000
33,7,0.9990,5.957477,5.957477,0.000000
34,7,0.9990,4.277171,4.277171,0.000000
35,1,0.9971,4.023259,4.023259,0.000000
37,2,0.9976,4.725863,4.725863,0.000000
38,2,0.9980,5.718186,5.718186,0.000000
41,13,0.9985,7.157138,7.157138,0.000000
43,13,0.9990,5.313684,5.313684,0.000000
65,13,0.9980,4.058969,4.058969,0.000000
68,7,0.9985,5.435110,5.435110,0.000000
70,9,0.9980,8.232026,8.232026,0.000000
71,9,0.9976,5.697916,5.697916,0.000000
72,9,0.9976,5.757593,5.757593,0.000000
73,9,0.9966,14.347296,14.347296,0.000000
74,9,0.9951,22.682127,22.682127,0.000000
75,9,0.9946,16.851755,16.851755,0.000000
76,9,0.9946,16.526222,16.526222,0.000000
77,11,0.9951,7.279998,7.279998,0.000000
78,14,0.9995,13.046119,13.046119,0.000000
79,5,1.0000,12.908559,12.908559,0.000000
80,7,0.9956,8.010714,8.010714,0.000000
81,13,0.9966,5.677339,5.677339,0.000000
82,9,0.9980,12.922129,12.922129,0.000000
83,15,0.9946,11.959683,11.959683,0.000000
150,7,0.9990,81.628510,81.628510,0.000000
151,7,0.9990,82.961433,82.961433,0.000000
152,13,0.9971,4.449626,4.449626,0.000000
153,15,0.9985,14.105237,14.105237,0.000000
154,15,0.9990,8.400634,8.400634,0.000000
155,15,0.9985,5.367697,5.367697,0.000000
158,7,0.9985,5.434840,5.434840,0.000000
159,7,0.9980,4.115863,4.115863,0.000000
160,13,0.9941,5.354325,5.354325,0.000000
161,15,0.9966,4.390245,4.390245,0.000000
163,7,0.9985,11.225763,11.225763,0.000000
164,5,1.0000,5.012554,5.012554,0.000000
165,13,0.9868,5.737321,5.737321,0.000000
166,13,0.9961,18.153374,18.153374,0.000000
167,13,0.9961,18.960430,18.960430,0.000000
168,13,0.9956,21.663197,21.663197,0.000000
169,13,0.9951,12.059782,12.059782,0.000000
170,11,0.9951,7.075068,7.075068,0.000000
171,11,0.9961,6.646221,6.646221,0.000000
172,14,0.9990,7.348439,7.348439,0.000000
173,11,0.9961,5.868856,5.868856,0.000000
174,9,0.9985,19.552719,19.552719,0.000000
175,9,0.9990,19.458069,19.458069,0.000000
176,9,0.9985,11.271329,11.271329,0.000000
177,11,0.9971,8.274917,8.274917,0.000000
179,9,0.9980,8.785991,8.785991,0.000000
180,11,0.9937,8.895500,8.895500,0.000000
181,11,0.9961,10.462682,10.462682,0.000000
182,5,1.0000,5.822279,5.822279,0.000000
183,13,0.9927,4.329875,4.329875,0.000000
184,13,0.9937,5.416360,5.416360,0.000000
186,13,0.9941,4.959419,4.959419,0.000000
187,13,0.9941,5.780567,5.780567,0.000000
188,11,0.9956,13.185143,13.185143,0.000000
189,11,0.9946,17.198877,17.198877,0.000000
190,13,0.9941,8.603129,8.603129,0.000000
192,11,0.9961,7.664079,7.664079,0.000000
193,2,0.9985,8.814240,8.814240,0.000000
197,7,0.9985,5.013003,5.013003,0.000000
199,13,0.9976,7.794875,7.794875,0.000000
200,13,0.9976,5.112134,5.112134,0.000000
204,13,0.9980,5.652747,5.652747,0.000000
214,1,0.9971,4.833517,4.833517,0.000000
215,13,0.9971,6.814460,6.814460,0.000000
216,13,0.9976,5.188177,5.188177,0.000000
217,13,0.9980,5.025435,5.025435,0.000000
218,13,0.9980,10.036522,10.036522,0.000000
220,13,0.9980,6.405799,6.405799,0.000000
221,13,0.9976,5.652480,5.652480,0.000000
222,13,0.9980,7.502944,7.502944,0.000000
223,11,0.9985,6.099306,6.099306,0.000000
224,13,0.9980,5.044327,5.044327,0.000000
225,2,0.9917,5.202932,5.202932,0.000000
226,1,0.9941,9.798688,9.798688,0.000000
227,11,0.9985,8.669802,8.669802,0.000000
228,1,0.9932,10.076843,10.076843,0.000000
229,11,0.9985,5.401279,5.401279,0.000000
230,11,0.9985,7.641995,7.641995,0.000000
235,11,0.9971,4.731409,4.731409,0.000000
251,16,0.9937,4.173501,4.173501,0.000000
264,14,1.0000,5.475515,5.475515,0.000000
266,14,1.0000,4.919950,4.919950,0.000000
267,14,1.0000,4.166416,4.166416,0.000000
268,14,1.0000,4.423184,4.423184,0.000000
273,16,0.9907,5.846920,5.846920,0.000000
276,16,0.9912,4.614011,4.614011,0.000000
278,5,0.9995,5.835336,5.835336,0.000000
280,5,0.9990,6.566071,6.566071,0.000000
364,16,0.9922,4.804953,4.804953,0.000000
365,16,0.9922,7.635836,7.635836,0.000000
366,16,0.9932,5.927560,5.927560,0.000000
389,7,0.9985,5.049843,5.049843,0.000000
390,11,0.9985,4.889876,4.889876,0.000000
406,1,0.9951,4.095874,4.095874,0.000000
407,9,0.9951,4.103751,4.103751,0.000000
410,2,0.9902,4.274422,4.274422,0.000000
411,7,0.9985,5.592007,5.592007,0.000000
412,7,0.9980,4.716855,4.716855,0.000000
418,1,0.9980,4.254615,4.254615,0.000000
434,11,0.9985,6.136750,6.136750,0.000000
0,15,0.9995,80.588661,80.588661,0.000000
1,15,0.9995,80.381927,80.381927,0.000000
5,1,0.9971,4.504557,4.504557,0.000000
6,2,0.9990,4.773918,4.773918,0.000000
9,15,0.9995,6.421769,6.421769,0.000000
10,15,0.9995,6.010121,6.010121,0.000000
14,5,1.0000,4.125997,4.125997,0.000000
15,7,0.9985,4.429949,4.429949,0.000000
16,15,1.0000,4.767321,4.767321,0.000000
17,5,0.9995,4.646513,4.646513,0.000000
19,11,0.9971,5.298460,5.298460,0.000000
20,2,0.9966,5.620114,5.620114,0.000000
23,2,0.9951,4.116353,4.116353,0.000000
25,1,0.9961,4.021811,4.021811,0.000000
27,1,0.9937,5.707891,5.707891,0.000000
28,15,0.9995,6.963618,6.963618,0.000000
33,7,0.9990,5.957477,5.957477,0.000000
34,7,0.9990,4.277171,4.277171,0.000000
35,1,0.9971,4.023260,4.023260,0.000000
37,2,0.9976,4.725863,4.725863,0.000000
38,2,0.9980,5.718186,5.718186,0.000000
41,13,0.9985,7.157138,7.157138,0.000000
43,13,0.9990,5.313684,5.313684,0.000000
65,13,0.9980,4.058969,4.058969,0.000000
68,7,0.9985,5.435110,5.435110,0.000000
70,9,0.9980,8.232026,8.232026,0.000000
71,9,0.9976,5.697916,5.697916,0.000000
72,9,0.9976,5.757593,5.757593,0.000000
73,9,0.9966,14.347296,14.347296,0.000000
74,9,0.9951,22.682127,22.682127,0.000000
75,9,0.9946,16.851755,16.851755,0.000000
76,9,0.9946,16.526222,16.526222,0.000000
77,11,0.9951,7.279998,7.279998,0.000000
78,14,0.9995,13.046119,13.046119,0.000000
79,5,1.0000,12.908559,12.908559,0.000000
80,7,0.9956,8.010714,8.010714,0.000000
81,13,0.9966,5.677339,5.677339,0.000000
82,9,0.9980,12.922129,12.922129,0.000000
83,15,0.9946,11.959683,11.959683,0.000000
150,7,0.9990,81.628510,81.628510,0.000000
151,7,0.9990,82.961433,82.961433,0.000000
152,13,0.9971,4.449626,4.449626,0.000000
153,15,0.9985,14.105237,14.105237,0.000000
154,15,0.9990,8.400634,8.400634,0.000000
155,15,0.9985,5.367697,5.367697,0.000000
158,7,0.9985,5.434840,5.434840,0.000000
159,7,0.9980,4.115863,4.115863,0.000000
160,13,0.9941,5.354325,5.354325,0.000000
161,15,0.9966,4.390245,4.390245,0.000000
163,7,0.9985,11.225763,11.225763,0.000000
164,5,1.0000,5.012554,5.012554,0.000000
165,13,0.9868,5.737321,5.737321,0.000000
166,13,0.9961,18.153374,18.153374,0.000000
167,13,0.9961,18.960430,18.960430,0.000000
168,13,0.9956,21.663197,21.663197,0.000000
169,13,0.9951,12.059782,12.059782,0.000000
170,11,0.9951,7.075068,7.075068,0.000000
171,11,0.9961,6.646221,6.646221,0.000000
172,14,0.9990,7.348439,7.348439,0.000000
173,11,0.9961,5.868856,5.868856,0.000000
174,9,0.9985,19.552719,19.552719,0.000000
175,9,0.9990,19.458069,19.458069,0.000000
176,9,0.9985,11.271329,11.271329,0.000000
177,11,0.9971,8.274917,8.274917,0.000000
179,9,0.9980,8.785991,8.785991,0.000000
180,11,0.9937,8.895500,8.895500,0.000000
181,11,0.9961,10.462682,10.462682,0.000000
182,5,1.0000,5.822279,5.822279,0.000000
183,13,0.9927,4.329875,4.329875,0.000000
184,13,0.9937,5.416360,5.416360,0.000000
186,13,0.9941,4.959419,4.959419,0.000000
187,13,0.9941,5.780567,5.780567,0.000000
188,11,0.9956,13.185143,13.185143,0.000000
189,11,0.9946,17.198877,17.198877,0.000000
190,13,0.9941,8.603129,8.603129,0.000000
192,11,0.9961,7.664079,7.664079,0.000000
193,2,0.9985,8.814240,8.814240,0.000000
197,7,0.9985,5.013003,5.013003,0.000000
199,13,0.9976,7.794875,7.794875,0.000000
