video_index,video_name,behavior,frame,time_sec,agg_cv,max_cv,top3_cv,max_seg,avg_body_size_px,midback_offset_ratio,mid_jitter,body_jitter,kp_spread
2,walk_13535868,walk,16,0.533,0.06932702660560608,0.1756855547428131,0.1310447702805201,Nose-Chest,176.78233337402344,0.7288968563079834,0.026441296562552452,0.8956685708119319,0.6805759780108929
2,walk_13535868,walk,18,0.6,0.06850912952079223,0.16634778678417206,0.12423328806956609,Nose-Chest,174.67787170410156,0.7293664216995239,0.025740796700119972,0.8339963509486272,0.6940513774752617
2,walk_13535868,walk,20,0.667,0.0631679269270255,0.14060238003730774,0.10982933392127354,Nose-Chest,173.08737182617188,0.7280914783477783,0.027944054454565048,0.8065409201842088,0.7053419053554535
2,walk_13535868,walk,22,0.733,0.054532283988709636,0.1207515150308609,0.10018453747034073,Nose-Chest,171.69920349121094,0.7231016159057617,0.036989402025938034,0.8445004499875582,0.7154181934893131
2,walk_13535868,walk,24,0.8,0.048161021791971646,0.11114194244146347,0.09497981766859691,Nose-Chest,173.06149291992188,0.7093093395233154,0.04732163995504379,0.924644988316756,0.7186076492071152
2,walk_13535868,walk,26,0.867,0.044899841698889546,0.0997527465224266,0.08709697177012761,Nose-Chest,175.8801727294922,0.6924965381622314,0.05661260336637497,0.967944649549631,0.7201699800789356
2,walk_13535868,walk,28,0.933,0.0405378991451401,0.08436736464500427,0.07307301710049312,LFElb-LFPaw,180.97622680664062,0.6677570343017578,0.09029784053564072,1.0623345696009123,0.7134954370558262
2,walk_13535868,walk,30,1.0,0.04056063530823359,0.08640562742948532,0.06854977458715439,LFElb-LFPaw,188.0077667236328,0.6390484571456909,0.11831089854240417,1.0774001295749958,0.6997938975691795
2,walk_13535868,walk,32,1.067,0.04397275606886698,0.0850781574845314,0.07175098732113838,LFElb-LFPaw,195.91818237304688,0.6102265119552612,0.1390744000673294,1.076041042804718,0.6837870143353939
2,walk_13535868,walk,34,1.133,0.04466502024577214,0.07489487528800964,0.06957679986953735,LFElb-LFPaw,203.9188232421875,0.5823245048522949,0.14433903992176056,1.0503513629619892,0.6690009161829948
2,walk_13535868,walk,36,1.2,0.04565477586136414,0.06706500798463821,0.064935768644015,Nose-Chest,212.20509338378906,0.5562582015991211,0.13587501645088196,1.0454147182978117,0.6559698954224586
2,walk_13535868,walk,38,1.267,0.04600229228918369,0.06973365694284439,0.06602067748705547,Nose-Chest,221.84054565429688,0.5331410765647888,0.11633569747209549,1.0644999742507935,0.6410624235868454
2,walk_13535868,walk,40,1.333,0.05124560027168347,0.08481387794017792,0.07918136318524678,Nose-Chest,233.14918518066406,0.5126665830612183,0.08860509842634201,1.0870287876862745,0.6222395710647106
2,walk_13535868,walk,42,1.4,0.05469660532589142,0.10517791658639908,0.09158946325381596,Chest-MBack,244.38729858398438,0.4945629835128784,0.041753172874450684,1.0728103014139028,0.6041190177202225
2,walk_13535868,walk,44,1.467,0.0712590876680154,0.205739364027977,0.14789682378371558,Chest-RFElb,255.03944396972656,0.4856519401073456,0.02524283528327942,1.167537340751061,0.5880131237208843
2,walk_13535868,walk,46,1.533,0.07891520728858617,0.2128925770521164,0.15460105240345,Chest-RFElb,266.01531982421875,0.479022353887558,0.028192810714244843,1.0709734146411602,0.5727832578122616
2,walk_13535868,walk,48,1.6,0.07965346354131515,0.22378385066986084,0.15456602225701013,Chest-RFElb,276.5517272949219,0.4730207026004791,0.04195767268538475,1.0391608568338246,0.5611808970570564
2,walk_13535868,walk,50,1.667,0.0854531777306245,0.2908315062522888,0.17700903366009393,Chest-RFElb,287.8614501953125,0.46360963582992554,0.05901161953806877,1.0000644968106196,0.5540304221212864
2,walk_13535868,walk,52,1.733,0.09392633668791789,0.3359017074108124,0.21687509616216025,Chest-RFElb,299.71563720703125,0.4503077268600464,0.07878751307725906,0.9795570694483243,0.5520580932497978
2,walk_13535868,walk,54,1.8,0.09500843085921727,0.3712443709373474,0.2379564791917801,Chest-RFElb,310.08892822265625,0.43597137928009033,0.08881992846727371,0.9676483227656438,0.5527642238885164
2,walk_13535868,walk,56,1.867,0.09499211530559339,0.4148450195789337,0.24976319322983423,Chest-RFElb,317.8646240234375,0.42219552397727966,0.09214785695075989,0.9532227103526776,0.5569584611803293
2,walk_13535868,walk,58,1.933,0.09398954533613645,0.4684303104877472,0.25939150402943295,Chest-RFElb,324.5068054199219,0.40663158893585205,0.09573767334222794,0.9419550849841192,0.5622041765600443
2,walk_13535868,walk,60,2.0,0.0799872511997819,0.36721643805503845,0.21208270142475763,Chest-RFElb,328.21795654296875,0.3933491110801697,0.08521636575460434,1.0713937328411982,0.5707950610667467
2,walk_13535868,walk,62,2.067,0.06925743875595239,0.27593761682510376,0.1698493336637815,Chest-RFElb,328.3711853027344,0.3844047784805298,0.06708398461341858,1.0582100382217994,0.5826147347688675
2,walk_13535868,walk,64,2.133,0.05737650193847143,0.15977542102336884,0.12433561931053798,Chest-RFElb,328.233154296875,0.37697023153305054,0.04494044557213783,1.0515393981566796,0.5911454893648624
2,walk_13535868,walk,66,2.2,0.0669347200399408,0.26729121804237366,0.16169656564791998,Chest-RFElb,328.88458251953125,0.36929988861083984,0.038829296827316284,1.0452979803085327,0.5947872549295425
2,walk_13535868,walk,68,2.267,0.08941131357390147,0.5026687383651733,0.24039028584957123,Chest-RFElb,331.6930236816406,0.36006951332092285,0.06321103870868683,1.0214197314702547,0.5929090417921543
2,walk_13535868,walk,70,2.333,0.11781330177417168,0.6805499792098999,0.3209236760934194,Chest-RFElb,337.1578369140625,0.3457505702972412,0.11055978387594223,1.0488923971469586,0.5920192152261734
2,walk_13535868,walk,72,2.4,0.1268227925667396,0.6975607872009277,0.3560178428888321,Chest-RFElb,344.6397399902344,0.32992783188819885,0.14682960510253906,1.0353929629692664,0.5894001349806786
2,walk_13535868,walk,74,2.467,0.12684408174111292,0.6472460627555847,0.3594122777382533,Chest-RFElb,353.979736328125,0.31547144055366516,0.17846322059631348,1.0577331735537603,0.5843398571014404
2,walk_13535868,walk,76,2.533,0.12477770949212405,0.5499075651168823,0.329751913746198,Chest-RFElb,364.2319641113281,0.3020768463611603,0.18663309514522552,1.0739483328965993,0.5740799866616726
2,walk_13535868,walk,78,2.6,0.11810196778522088,0.4255370497703552,0.283321092526118,Chest-RFElb,375.67767333984375,0.2879337668418884,0.17085906863212585,1.076911646586198,0.5619073286652565
2,walk_13535868,walk,80,2.667,0.10741401778963897,0.2953731417655945,0.2401047150293986,Chest-RFElb,385.6734619140625,0.275224506855011,0.13118824362754822,1.0613282231184153,0.5509165301918983
2,walk_13535868,walk,82,2.733,0.09852138763436905,0.22818805277347565,0.19625000655651093,RHKnee-RHPaw,393.3028869628906,0.2669066786766052,0.08332320302724838,1.1456479888695936,0.5411270149052143
2,walk_13535868,walk,84,2.8,0.10508502933841485,0.23869824409484863,0.21081267793973288,RHKnee-RHPaw,397.54705810546875,0.2632306218147278,0.0622117780148983,1.1200361435229962,0.5352526530623436
2,walk_13535868,walk,86,2.867,0.12385573109182027,0.3517073094844818,0.2633168747027715,Chest-RFElb,399.138671875,0.26403936743736267,0.06168457120656967,1.1010815638762255,0.5315729025751352
2,walk_13535868,walk,88,2.933,0.13604763723336732,0.46842145919799805,0.2998235722382863,Chest-RFElb,397.06109619140625,0.26694899797439575,0.05508902668952942,1.0413803091415992,0.5325036216527224
2,walk_13535868,walk,90,3.0,0.1337296123114916,0.5748412609100342,0.3297702968120575,Chest-RFElb,392.0228271484375,0.2721630930900574,0.034819964319467545,1.0112165350180407,0.5351859256625175
2,walk_13535868,walk,92,3.067,0.1352740480349614,0.6767893433570862,0.3510848879814148,Chest-RFElb,385.961669921875,0.2767781913280487,0.031474385410547256,1.0016535474703863,0.541596706956625
2,walk_13535868,walk,94,3.133,0.13740268550240076,0.7479889392852783,0.35391320784886676,Chest-RFElb,377.1387634277344,0.2837502956390381,0.05686505511403084,0.9485162267318139,0.5513914711773396
2,walk_13535868,walk,96,3.2,0.1329712443626844,0.6871193051338196,0.32745376725991565,Chest-RFElb,368.1851806640625,0.2926013171672821,0.0888800248503685,0.9542614909318777,0.5627542585134506
2,walk_13535868,walk,98,3.267,0.11747055758650486,0.4930827021598816,0.268690566221873,Chest-RFElb,359.9137878417969,0.30176079273223877,0.11014256626367569,0.9732071940715497,0.5738394074141979
2,walk_13535868,walk,100,3.333,0.12671814285791838,0.5972002148628235,0.3129347264766693,Chest-RFElb,354.65765380859375,0.30661827325820923,0.10719279944896698,0.9768971479856051,0.580486599355936
2,walk_13535868,walk,102,3.4,0.14078178256750107,0.7068197727203369,0.3443700522184372,Chest-RFElb,351.091064453125,0.3100091218948364,0.09873563796281815,1.0138057882969196,0.5833359882235527
2,walk_13535868,walk,104,3.467,0.14703826505977374,0.7200658917427063,0.36578171451886493,Chest-RFElb,351.588623046875,0.3094565272331238,0.101246178150177,1.0055547219056349,0.5821137949824333
2,walk_13535868,walk,106,3.533,0.1376888736222799,0.6580888628959656,0.35837018489837646,Chest-RFElb,354.2467956542969,0.30646970868110657,0.11440862715244293,1.0542075725702138,0.5787973701953888
2,walk_13535868,walk,108,3.6,0.12463921788506784,0.5559446811676025,0.3274022142092387,Chest-RFElb,358.117919921875,0.30240488052368164,0.1266794502735138,1.0569330087074866,0.5736708268523216
2,walk_13535868,walk,110,3.667,0.11634706404919808,0.4339500963687897,0.28802939256032306,Chest-RFElb,365.16802978515625,0.29629361629486084,0.13035596907138824,1.0777131502444928,0.5634782984852791
2,walk_13535868,walk,112,3.733,0.10379034997178958,0.30383071303367615,0.24323798716068268,Chest-RFElb,373.6790466308594,0.28735244274139404,0.11783907562494278,1.0433979768019457,0.5522680468857288
2,walk_13535868,walk,114,3.8,0.08944943676201197,0.2207951694726944,0.18550743162631989,RHKnee-RHPaw,381.4608154296875,0.2759384512901306,0.07813699543476105,1.0349330443602343,0.5420545823872089
2,walk_13535868,walk,116,3.867,0.0911321108444379,0.22803795337677002,0.19480534394582114,RHKnee-RHPaw,386.3372802734375,0.26951685547828674,0.0490991473197937,1.0614381570082445,0.5326889809221029
2,walk_13535868,walk,118,3.933,0.1041274037785255,0.26158595085144043,0.2277227540810903,Chest-LFElb,389.3385925292969,0.2660360336303711,0.02500462904572487,1.0016310673493605,0.5264791510999203
2,walk_13535868,walk,120,4.0,0.11452930649885765,0.30093398690223694,0.24331603944301605,Chest-RFElb,389.9330139160156,0.26552486419677734,0.02629898488521576,0.9878180347956144,0.5221984125673771
2,walk_13535868,walk,122,4.067,0.12029676067714508,0.4008331894874573,0.2741386940081914,Chest-RFElb,389.1260681152344,0.2656848132610321,0.025319430977106094,1.0273619431715746,0.5225873328745365
2,walk_13535868,walk,124,4.133,0.1152375559680737,0.4784667491912842,0.28917809824148816,Chest-RFElb,386.9129638671875,0.2664143741130829,0.024100348353385925,0.990517639196836,0.5260642468929291
2,walk_13535868,walk,126,4.2,0.10903935693204403,0.5303518772125244,0.2876809785763423,Chest-RFElb,383.7812805175781,0.2670328617095947,0.028298107907176018,0.9923466444015503,0.5321514159440994
2,walk_13535868,walk,128,4.267,0.10137904077195205,0.5203935503959656,0.268040897945563,Chest-RFElb,379.7662048339844,0.2684802711009979,0.034912217408418655,1.0163165285037115,0.5388653334230185
2,walk_13535868,walk,130,4.333,0.0899216729001357,0.4192204475402832,0.22088468074798584,Chest-RFElb,372.24609375,0.2749210000038147,0.06841813027858734,1.0485153610889728,0.5496842823922634
2,walk_13535868,walk,132,4.4,0.07478968283304802,0.24336190521717072,0.1593545824289322,Chest-RFElb,364.05767822265625,0.28267234563827515,0.09241090714931488,1.0197175099299505,0.5610531456768513
2,walk_13535868,walk,134,4.467,0.07743741113405961,0.2186305671930313,0.15725386887788773,Chest-RFElb,356.6851501464844,0.2906644642353058,0.10346070677042007,1.00593141409067,0.5662454590201378
2,walk_13535868,walk,136,4.533,0.09762084297835827,0.35977283120155334,0.20874740680058798,Chest-RFElb,350.20086669921875,0.2971189320087433,0.09678234905004501,0.9550102949142456,0.5704768523573875
2,walk_13535868,walk,138,4.6,0.10909613049947299,0.44613415002822876,0.2542347311973572,Chest-RFElb,345.0887451171875,0.3019523620605469,0.08145800232887268,0.949613658281473,0.573213804513216
2,walk_13535868,walk,140,4.667,0.11746371967288163,0.4908226430416107,0.2869938512643178,Chest-RFElb,343.8363952636719,0.3009341061115265,0.08690422773361206,0.9479650809214666,0.5759611092507839
2,walk_13535868,walk,142,4.733,0.11805519332679418,0.4798892140388489,0.29936664799849194,Chest-RFElb,345.6255187988281,0.2950648069381714,0.11728004366159439,0.9360240514461811,0.5768522955477238
2,walk_13535868,walk,144,4.8,0.11244152343043914,0.42285260558128357,0.28539353609085083,Chest-RFElb,347.380615234375,0.2897089719772339,0.13405635952949524,0.8636276401006259,0.5778676904737949
2,walk_13535868,walk,146,4.867,0.10766522844250385,0.34011924266815186,0.2517957041660945,Chest-RFElb,352.661376953125,0.2822739779949188,0.13598749041557312,0.8742214532998892,0.5720071643590927
2,walk_13535868,walk,148,4.933,0.09673175301689368,0.2416389435529709,0.207056591908137,Chest-RFElb,357.7884826660156,0.2743415832519531,0.12313497811555862,0.8685753574738135,0.5656210146844387
2,walk_13535868,walk,150,5.0,0.08411898105763473,0.16491290926933289,0.1575441062450409,Chest-RFElb,362.0946044921875,0.2664278745651245,0.09635880589485168,0.8949820307584909,0.5598616451025009
2,walk_13535868,walk,152,5.067,0.08522141982729618,0.17962627112865448,0.16218560934066772,RHKnee-RHPaw,365.639892578125,0.26142311096191406,0.07232827693223953,0.9120240532434903,0.5518098156899214
2,walk_13535868,walk,154,5.133,0.09762904972124559,0.25958123803138733,0.20683779815832773,Chest-RFElb,367.0374755859375,0.2594762146472931,0.05965187028050423,0.9271399608025184,0.5471540223807096
2,walk_13535868,walk,156,5.2,0.10761263465078977,0.3645850718021393,0.2410181611776352,Chest-RFElb,364.7677307128906,0.2627186179161072,0.06556493043899536,0.8870425682801467,0.5444512516260147
2,walk_13535868,walk,158,5.267,0.10961922329778855,0.45239192247390747,0.26855675876140594,Chest-RFElb,359.0987548828125,0.2697141170501709,0.05046860873699188,0.9632906684508691,0.5461008846759796
2,walk_13535868,walk,160,5.333,0.10545974568678783,0.5095438957214355,0.27682385096947354,Chest-RFElb,352.2716064453125,0.2774406671524048,0.048546046018600464,0.9970780794437115,0.5486829243600368
2,walk_13535868,walk,162,5.4,0.10406981809781148,0.5241607427597046,0.26561389366785687,Chest-RFElb,344.0664978027344,0.2849016487598419,0.05926865339279175,0.9970776071915259,0.5556570366024971
2,walk_13535868,walk,164,5.467,0.09901092273111527,0.45907679200172424,0.23428832987944284,Chest-RFElb,334.07794189453125,0.2947889566421509,0.08463779836893082,0.978636200611408,0.5653526037931442
2,walk_13535868,walk,166,5.533,0.08944888814137532,0.30679428577423096,0.18540281057357788,Chest-RFElb,324.42901611328125,0.3078908920288086,0.11034645885229111,1.0609892560885503,0.5752597488462925
2,walk_13535868,walk,168,5.6,0.0890907016224586,0.26250362396240234,0.17986692984898886,Chest-RFElb,315.72406005859375,0.3191654682159424,0.11189605295658112,1.0994863922779377,0.5858290009200573
2,walk_13535868,walk,170,5.667,0.10525754609933266,0.3652481436729431,0.22023467222849527,Chest-RFElb,309.2321472167969,0.32708272337913513,0.10005296021699905,1.0915711292853723,0.5925272740423679
2,walk_13535868,walk,172,5.733,0.12101126662813701,0.424312561750412,0.26744527618090314,Chest-RFElb,305.6326904296875,0.3300360441207886,0.08969490230083466,1.0678740877371569,0.5975523963570595
2,walk_13535868,walk,174,5.8,0.12073013129142615,0.4181182384490967,0.2938404480616252,Chest-RFElb,304.13616943359375,0.330655038356781,0.08721818029880524,1.0717622133401723,0.5978895165026188
2,walk_13535868,walk,176,5.867,0.11576342296141845,0.38257527351379395,0.2929159601529439,Chest-RFElb,304.9541015625,0.32889923453330994,0.09326385706663132,1.0731615745104277,0.5954759232699871
2,walk_13535868,walk,178,5.933,0.10830515923981483,0.36203187704086304,0.2706739505132039,Chest-LFElb,307.4050598144531,0.3278936743736267,0.09479782730340958,1.1436366576414843,0.5882496424019337
2,walk_13535868,walk,180,6.0,0.09846324444963382,0.32905706763267517,0.2398984581232071,Chest-LFElb,312.5077819824219,0.3232395052909851,0.09513688087463379,1.0971212983131409,0.5779724046587944
2,walk_13535868,walk,182,6.067,0.09118711088712399,0.24942244589328766,0.19420022269090018,Chest-LFElb,317.4700927734375,0.3149852156639099,0.07665959745645523,1.0706171714342558,0.5676830522716045
2,walk_13535868,walk,184,6.133,0.09256937483755442,0.21010185778141022,0.1957427809635798,Chest-LFElb,321.1808166503906,0.30823588371276855,0.049842994660139084,1.116428861251244,0.5599658973515034
2,walk_13535868,walk,186,6.2,0.10393942075853164,0.2821389436721802,0.23756659030914307,Chest-RFElb,323.448486328125,0.30368244647979736,0.028546441346406937,1.052571415901184,0.5532549470663071
2,walk_13535868,walk,188,6.267,0.10574962399326839,0.3887140154838562,0.25846516092618305,Chest-RFElb,323.667724609375,0.30306535959243774,0.027075203135609627,1.05939788543261,0.5478404127061367
2,walk_13535868,walk,190,6.333,0.10167260811879085,0.46827155351638794,0.2610635260740916,Chest-RFElb,320.8353271484375,0.3048393428325653,0.021007193252444267,1.0874128891871526,0.5461118184030056
2,walk_13535868,walk,192,6.4,0.10130790520745975,0.5074744820594788,0.2629386881987254,Chest-RFElb,316.2276916503906,0.3072151839733124,0.010720402002334595,1.0156057156049287,0.5473946891725063
2,walk_13535868,walk,194,6.467,0.10387866399609126,0.49559351801872253,0.2481922780474027,Chest-RFElb,309.1029968261719,0.30914339423179626,0.02179228700697422,0.9745975320155804,0.5549205541610718
2,walk_13535868,walk,196,6.533,0.09460886037693574,0.37520602345466614,0.19351083288590112,Chest-RFElb,300.8829650878906,0.31574273109436035,0.05967942252755165,1.0488740435013404,0.5644304417073727
2,walk_13535868,walk,198,6.6,0.0860193045093463,0.25354257225990295,0.1548348218202591,Chest-RFElb,293.655029296875,0.3223651349544525,0.07386226207017899,1.0697048948361323,0.5765146352350712
2,walk_13535868,walk,200,6.667,0.09209377203996365,0.3087516129016876,0.18126166860262552,Chest-RFElb,288.0614929199219,0.3261060416698456,0.07304703444242477,1.0517533421516418,0.5869761034846306
2,walk_13535868,walk,202,6.733,0.10296063497662544,0.3817274868488312,0.2089112624526024,Chest-RFElb,284.0277099609375,0.32650381326675415,0.0722837895154953,1.0298696848062368,0.59801185131073
2,walk_13535868,walk,204,6.8,0.10192942934540603,0.3872462511062622,0.20959953715403876,Chest-RFElb,281.2256774902344,0.3253936767578125,0.07724817842245102,1.048428489611699,0.6060415990650654
2,walk_13535868,walk,206,6.867,0.09666312027436036,0.36661213636398315,0.20438394943873087,Chest-RFElb,281.44158935546875,0.3207463026046753,0.09701289236545563,1.0301417433298552,0.6105640418827534
2,walk_13535868,walk,208,6.933,0.08532700931223539,0.313787579536438,0.18534574409325918,Chest-RFElb,282.38983154296875,0.315534770488739,0.1133483275771141,1.0945012019230769,0.6125322319567204
2,walk_13535868,walk,210,7.0,0.07528728404297279,0.24775685369968414,0.1703757345676422,Chest-RFElb,286.6117248535156,0.309649795293808,0.12187238782644272,1.1273639981563275,0.6076649092137814
2,walk_13535868,walk,212,7.067,0.07318039109500554,0.19014832377433777,0.16176792730887732,Chest-RFElb,292.3295593261719,0.3020175099372864,0.10616248100996017,1.1485286355018616,0.5997939594089985
2,walk_13535868,walk,214,7.133,0.06747641743948826,0.20049159228801727,0.15134176363547644,RHKnee-RHPaw,297.3547058105469,0.29571789503097534,0.07972163707017899,1.1314212771562429,0.5922622010111809
2,walk_13535868,walk,216,7.2,0.06618387925510223,0.21653087437152863,0.14698066810766855,RHKnee-RHPaw,301.35009765625,0.2907625138759613,0.060234952718019485,1.103939712047577,0.5836386829614639
2,walk_13535868,walk,218,7.267,0.0666500819990268,0.21480916440486908,0.14140813052654266,RHKnee-RHPaw,304.10186767578125,0.2882879376411438,0.055478643625974655,1.1045083541136522,0.5712965875864029
2,walk_13535868,walk,220,7.333,0.0662231405910391,0.19299903512001038,0.1285954788327217,RHKnee-RHPaw,306.3278503417969,0.29006046056747437,0.058028578758239746,1.1635817472751324,0.5581590346992016
2,walk_13535868,walk,222,7.4,0.06096770385136971,0.13480137288570404,0.11925432831048965,RHKnee-RHPaw,307.9403381347656,0.2952345907688141,0.05298405885696411,1.2053139851643488,0.5455895140767097
2,walk_13535868,walk,224,7.467,0.05644972737018879,0.13349944353103638,0.11284801363945007,Chest-RFElb,309.91357421875,0.30206602811813354,0.04613472521305084,1.1191875842901378,0.5349771045148373
2,walk_13535868,walk,226,7.533,0.04905118664296774,0.1395566612482071,0.11081679165363312,Chest-RFElb,310.62249755859375,0.30920547246932983,0.04486687108874321,0.973133018383613,0.5287109687924385
2,walk_13535868,walk,228,7.6,0.04494599740092571,0.12930986285209656,0.10050275549292564,Chest-RFElb,311.03240966796875,0.3130999505519867,0.0490790493786335,0.9902658691773047,0.5253930762410164
2,walk_13535868,walk,230,7.667,0.03678360466773693,0.10135753452777863,0.07783785462379456,Chest-RFElb,311.4847106933594,0.3153380751609802,0.051127564162015915,1.0259293134395893,0.5224725306034088
2,walk_13535868,walk,232,7.733,0.02565103769302368,0.06393244117498398,0.04693252965807915,Chest-RFElb,310.8370056152344,0.3201150596141815,0.05034099146723747,1.0400960858051593,0.5220902301371098
2,walk_13535868,walk,234,7.8,0.019202962016256955,0.03101743757724762,0.029360550766189892,Hip-RHKnee,310.46099853515625,0.3257616460323334,0.035526007413864136,0.8420020662821256,0.5226823315024376
2,walk_13535868,walk,236,7.867,0.01859045225697068,0.03108804114162922,0.02956019714474678,Chest-LFElb,309.9735107421875,0.3286924958229065,0.027469709515571594,0.8861604057825528,0.5232863835990429
2,walk_13535868,walk,238,7.933,0.01720158949207801,0.029156548902392387,0.026375863701105118,Hip-RHKnee,309.305419921875,0.3316763937473297,0.01650657318532467,0.9551862524105952,0.5237903855741024
2,walk_13535868,walk,240,8.0,0.015658930911181066,0.027216576039791107,0.023028140266736347,Hip-RHKnee,308.9385070800781,0.3331416845321655,0.0113796042278409,1.0300915195391729,0.5239580199122429
2,walk_13535868,walk,242,8.067,0.01455637662170025,0.027425721287727356,0.02270786091685295,Hip-RHKnee,309.1063537597656,0.3327670097351074,0.011146037839353085,1.0276898741722107,0.523302149027586
2,walk_13535868,walk,244,8.133,0.012947822025475593,0.02532300353050232,0.02128323105474313,Hip-RHKnee,309.07171630859375,0.3331148624420166,0.010638163425028324,1.0031304955482483,0.5232088603079319
2,walk_13535868,walk,246,8.2,0.008712872432974668,0.016494620591402054,0.014709634085496267,Nose-REar,308.58807373046875,0.33414679765701294,0.009842134080827236,0.879793488062345,0.524009108543396
2,walk_13535868,walk,248,8.267,0.00854047450523537,0.014839239418506622,0.01359002385288477,Nose-REar,308.7752685546875,0.3340471386909485,0.009120744653046131,0.8807346224784851,0.5240281112492085
2,walk_13535868,walk,250,8.333,0.008999546685327705,0.015742406249046326,0.013519874463478724,RHKnee-RHPaw,308.9684143066406,0.33400222659111023,0.006778050679713488,0.8084420470091013,0.5239207036793232
2,walk_13535868,walk,252,8.4,0.009626095451844426,0.018761906772851944,0.015651353324453037,RHKnee-RHPaw,308.8221130371094,0.3345876932144165,0.005344791803508997,0.7940072004611676,0.5242319032549858
2,walk_13535868,walk,254,8.467,0.0112387200172704,0.02115248516201973,0.018892067794998486,Hip-RHKnee,307.97869873046875,0.33500349521636963,0.005578686948865652,0.8029866126867441,0.5253063999116421
2,walk_13535868,walk,256,8.533,0.011965404372089185,0.02175622247159481,0.01906132884323597,Hip-RHKnee,307.1563720703125,0.33503231406211853,0.005547688342630863,0.8103054899435777,0.526273999363184
2,walk_13535868,walk,258,8.6,0.013206236386814943,0.025247760117053986,0.02078707640369733,Hip-RHKnee,306.6529846191406,0.33502066135406494,0.006754898466169834,0.8808170923819909,0.5267597138881683
2,walk_13535868,walk,260,8.667,0.014028504311751861,0.029302624985575676,0.02256223497291406,Hip-RHKnee,306.3994445800781,0.3341929614543915,0.009472653269767761,0.9125123161535996,0.5268597304821014
2,walk_13535868,walk,262,8.733,0.01401875576434227,0.03210142254829407,0.02370913264652093,Hip-RHKnee,306.27587890625,0.3333503007888794,0.009692863561213017,0.9714053043952355,0.5266322568058968
2,walk_13535868,walk,264,8.8,0.01374399008301015,0.03492524102330208,0.024312793587644894,Hip-RHKnee,306.33697509765625,0.3325013518333435,0.009032420814037323,1.024194712822254,0.5261196345090866
2,walk_13535868,walk,266,8.867,0.01353689467606063,0.03616631031036377,0.02506658434867859,Hip-RHKnee,306.08929443359375,0.3321441411972046,0.009073210880160332,1.0354310182424693,0.5261359699070454
2,walk_13535868,walk,268,8.933,0.012219414473153077,0.03411463275551796,0.024353705967466038,Hip-RHKnee,305.9225158691406,0.331534743309021,0.00866733118891716,1.1229156439120953,0.5261573903262615
2,walk_13535868,walk,270,9.0,0.01099401361380632,0.027340786531567574,0.02107643025616805,Hip-RHKnee,306.45416259765625,0.33036839962005615,0.00708350632339716,1.097706505885491,0.5253295190632343
2,walk_13535868,walk,272,9.067,0.00824703722117612,0.016982782632112503,0.014525155536830425,Hip-RHKnee,306.85809326171875,0.32957279682159424,0.006091419607400894,1.2637303471565247,0.5245283916592598
2,walk_13535868,walk,274,9.133,0.00463292150435826,0.010095423087477684,0.008176459154735008,RHKnee-RHPaw,306.94696044921875,0.329289972782135,0.003969613928347826,0.5322508307603689,0.5241693258285522
2,walk_13535868,walk,276,9.2,0.004344998858869076,0.00813637487590313,0.007579644365857045,RHKnee-RHPaw,306.795654296875,0.3295627236366272,0.00395698519423604,0.5339063726938688,0.5241131000220776
2,walk_13535868,walk,278,9.267,0.004197492792557638,0.007763267494738102,0.006414204059789578,Nose-REar,306.49554443359375,0.32963651418685913,0.003993785474449396,0.5182852011460525,0.5243556462228298
2,walk_13535868,walk,280,9.333,0.004245641892059491,0.007028897292912006,0.00568145311747988,Nose-REar,305.9794006347656,0.3301734924316406,0.006456886883825064,0.6044806631711813,0.5249158777296543
